Name	Website	LinkedIn	Primary Phone	Phone	Languages
Miss & Misses	http://www.missmisses.com.br	http://www.linkedin.com/company/missmisses	{'number': '+55 11 3339-1350', 'source': 'Account', 'sanitized_number': '+551133391350'}	+55 11 3339-1350	
Flor de Lis		http://www.linkedin.com/company/flor-de-lis-acopiara	{}		
MEF Confecções	http://www.mefconfeccoes.com.br	http://www.linkedin.com/company/mef-confec%c3%a7%c3%b5es	{}		
Realeza	http://www.vistarealeza.com.br	http://www.linkedin.com/company/vistarealeza	{}		
Água Viva		http://www.linkedin.com/company/%c3%a1gua-viva-moda	{}		
Atendimento domiciliar	http://www.enfdeisectba.com	http://www.linkedin.com/company/atendimento-domiciliar	{}		
Promotora De Vendas	http://www.promotoradevendas.com.br	http://www.linkedin.com/company/promotora-de-vendas	{}		
Ibirapuera		http://www.linkedin.com/company/italinea-ibirapuera	{}		
Trajes	http://www.meutraje.com	http://www.linkedin.com/company/trajesoficial	{}		
John's	http://www.usejohns.com.br	http://www.linkedin.com/company/johns	{}		
Ateliê de Costura		http://www.linkedin.com/company/ateli%c3%aa-de-costura	{}		
Querubim		http://www.linkedin.com/company/querubim	{}		Portuguese
Rogério	http://www.rogerioeustaquio.com	http://www.linkedin.com/company/rog%c3%a9rio	{}		
Criare Ambientes Planejados		http://www.linkedin.com/company/criareplanejados	{}		Portuguese
UFOWAY	http://www.ufoway.com.br	http://www.linkedin.com/company/ufo-way-private-label	{'number': '+55 48 3444-9400', 'source': 'Scraped', 'sanitized_number': '+554834449400'}	+55 48 3444-9400	
Shopping Eldorado	http://www.shoppingeldorado.com.br	http://www.linkedin.com/company/shopping-eldorado	{}		English
Sand Beach	http://www.maresia.com.br	http://www.linkedin.com/company/sand-beach	{}		
Carmak Equipamentos	http://www.carmak.com.br	http://www.linkedin.com/company/carmak-equipamentos	{}		
KINGS Sneakers Shop	http://www.lojakings.com.br	http://www.linkedin.com/company/kings-sneakers-shop	{'number': '+55 11 3223-1624', 'source': 'Scraped', 'sanitized_number': '+551132231624'}	+55 11 3223-1624	Portuguese
Caruaru Shopping	http://www.caruarushopping.com	http://www.linkedin.com/company/caruaru-shopping	{}		Portuguese
GRUPO K1 S.A.	http://www.grupok1.com.br	http://www.linkedin.com/company/grupo-k1	{}		
Covolan Denim	http://www.covolan.com.br	http://www.linkedin.com/company/covolandenim	{'number': '+55 19 3459-8200', 'source': 'Account', 'sanitized_number': '+551934598200'}	+55 19 3459-8200	Portuguese
Cinex Inovação e Emoção	http://www.cinex.com.br	http://www.linkedin.com/company/cinex-ind-do-mobili%c3%a1rio-ltda	{'number': '+55 54 3455-2222', 'source': 'Scraped', 'sanitized_number': '+555434552222'}	+55 54 3455-2222	English, Portuguese, Spanish
HMY do Brasil	http://www.hmy-group.com.br	http://www.linkedin.com/company/hmy-do-brasil	{}		
Inusittá Ambientes Planejados		http://www.linkedin.com/company/inusittaambientesplanejados	{'number': '+55 45 3027-5600', 'source': 'Account', 'sanitized_number': '+554530275600'}	+55 45 3027-5600	Portuguese
Doptex	http://www.doptex.com.br	http://www.linkedin.com/company/doptex	{}		
Safetline	http://www.safetline.com.br	http://www.linkedin.com/company/safetline	{}		Portuguese
Loja Três	http://www.lojatres.com.br	http://www.linkedin.com/company/loja-tr%c3%aas	{}		
Enjoy	http://www.enjoy.com.br	http://www.linkedin.com/company/enjoy-oficial	{'number': '+55 61 99878-0847', 'source': 'Scraped', 'sanitized_number': '+5561998780847'}	+55 61 99878-0847	Portuguese
Demóbile Indústria de Móveis	http://www.demobile.com.br	http://www.linkedin.com/company/demobilemoveis	{}		
Alberflex	http://www.alberflex.com.br	http://www.linkedin.com/company/alberflex	{}		Portuguese
Grupo Umaflex - Colchões e Espumas	http://www.umaflex.com.br	http://www.linkedin.com/company/umaflex-colhoes-e-espumas	{}		
ApoloSpuma	http://www.apolospuma.com.br	http://www.linkedin.com/company/apolospuma	{}		Portuguese
AMARO	http://www.amaro.com	http://www.linkedin.com/company/amaro	{'number': '+55 11 3230-4500', 'source': 'Account', 'sanitized_number': '+551132304500'}	+55 11 3230-4500	Portuguese
La Moda	http://www.lamoda.com.br	http://www.linkedin.com/company/la-moda	{}		Portuguese
Tecnogera	http://www.tecnogera.com.br	http://www.linkedin.com/company/tecnogera-energia-e-equipamentos	{'number': '+55 800 772 1601', 'source': 'Scraped', 'sanitized_number': '+558007721601'}	+55 800 772 1601	Portuguese
Breton	http://www.breton.com.br	http://www.linkedin.com/company/bretonoficial	{}		Portuguese
Grupo Elian	http://www.grupoelian.com	http://www.linkedin.com/company/grupoelian	{'number': '+55 800 047 2168', 'source': 'Scraped', 'sanitized_number': '+558000472168'}	+55 800 047 2168	English, Portuguese, Spanish
Grupo S2	http://www.s2holding.com.br	http://www.linkedin.com/company/grupos2	{}		
Ricardo Almeida	http://www.ricardoalmeida.com.br	http://www.linkedin.com/company/ricardoalmeida	{}		Portuguese
Ornare Móveis	http://www.ornare.com.br	http://www.linkedin.com/company/ornare	{}		Portuguese, English
nk store	http://www.nk.com.br	http://www.linkedin.com/company/nkstore	{}		
Azzas 2154		http://www.linkedin.com/company/azzas2154	{'number': '+55 11 2132-4300', 'source': 'Owler', 'sanitized_number': '+551121324300'}	+55 11 2132-4300	
Colchões Castor	http://www.colchoescastor.com.br	http://www.linkedin.com/company/colchoescastor	{}		Portuguese
Madesa Furniture	http://www.madesa.com	http://www.linkedin.com/company/madesa-moveis	{}		Portuguese
Italínea Móveis	http://www.italinea.com.br	http://www.linkedin.com/company/italinea-oficial	{'number': '+55 54 3455-5100', 'source': 'Account', 'sanitized_number': '+555434555100'}	+55 54 3455-5100	Portuguese, Spanish
Bontempo Móveis	http://www.bontempo.com.br	http://www.linkedin.com/company/bontempo-m%c3%b3veis	{'number': '+55 54 3291-8300', 'source': 'Scraped', 'sanitized_number': '+555432918300'}	+55 54 3291-8300	Portuguese
GREENPLAC	http://www.greenplac.com.br	http://www.linkedin.com/company/greenplac	{}		
Flamboyant	http://www.flamboyant.com.br	http://www.linkedin.com/company/grupoflamboyant	{'number': '+55 62 3546-2000', 'source': 'Scraped', 'sanitized_number': '+556235462000'}	+55 62 3546-2000	Portuguese
Artefacto	http://www.artefacto.com.br	http://www.linkedin.com/company/artefactooficial	{'number': '+1 305-774-0004', 'source': 'Owler', 'sanitized_number': '+13057740004'}	+1 305-774-0004	English
OGOCHI Menswear	http://www.ogochi.com.br	http://www.linkedin.com/company/ogochi-menswear	{}		Portuguese
Mercatto	http://www.mercatto.com.br	http://www.linkedin.com/company/mercatto	{'number': '+55 61 3323-7820', 'source': 'Account', 'sanitized_number': '+556133237820'}	+55 61 3323-7820	Portuguese
Linea Brasil	http://www.lineabrasil.com.br	http://www.linkedin.com/company/lineabrasilmoveis	{'number': '+55 43 3276-9400', 'source': 'Scraped', 'sanitized_number': '+554332769400'}	+55 43 3276-9400	Portuguese
nuvini	http://www.nuvini.co	http://www.linkedin.com/company/nuvinius	{'number': '+55 11 98751-8784', 'source': 'Account', 'sanitized_number': '+5511987518784'}	+55 11 98751-8784	
DJ Móveis	http://www.djmoveis.ind.br	http://www.linkedin.com/company/djmoveis	{'number': '+55 43 3172-7777', 'source': 'Scraped', 'sanitized_number': '+554331727777'}	+55 43 3172-7777	
Grupo Via Veneto	http://www.grupoviaveneto.com.br	http://www.linkedin.com/company/via-veneto-roupas-ltda-	{'number': '+55 800 042 0442', 'source': 'Scraped', 'sanitized_number': '+558000420442'}	+55 800 042 0442	
Grupo Lopas	http://www.grupolopas.com.br	http://www.linkedin.com/company/grupo-lopas	{}		
Recco Lingerie	http://www.recco.com.br	http://www.linkedin.com/company/recco-oficial	{'number': '+55 44 2101-6262', 'source': 'Scraped', 'sanitized_number': '+554421016262'}	+55 44 2101-6262	Portuguese
Grupo Crisdu	http://www.crisdu.com.br	http://www.linkedin.com/company/grupo-crisdu	{}		Portuguese
Emphasis Industria e Comércio Votorantim Ltda	http://www.emphasisconf.com.br	http://www.linkedin.com/company/emphasis-votorantim	{'number': '+55 15 3353-7100', 'source': 'Account', 'sanitized_number': '+551533537100'}	+55 15 3353-7100	
A Fábula	http://www.afabula.com.br	http://www.linkedin.com/company/afabula	{}		
Móveis Rudnick S.A.	http://www.rudnick.com.br	http://www.linkedin.com/company/m-veis-rudnick-s.a.	{'number': '+55 47 3631-1000', 'source': 'Account', 'sanitized_number': '+554736311000'}	+55 47 3631-1000	
Arquitetura e Urbanismo	http://www.jeantosetto.com	http://www.linkedin.com/company/arquiteturaeurbanismo	{}		Portuguese
Luli Têxtil	http://www.lulitextil.com.br	http://www.linkedin.com/company/luli-textil	{'number': '+55 47 3221-2344', 'source': 'Account', 'sanitized_number': '+554732212344'}	+55 47 3221-2344	
HIGHSTIL	http://www.highstil.com.br	http://www.linkedin.com/company/highstil	{'number': '+55 11 3611-5573', 'source': 'Account', 'sanitized_number': '+551136115573'}	+55 11 3611-5573	Portuguese
Ban Ban Calçados	http://www.banbancalcados.com.br	http://www.linkedin.com/company/banban-calcados	{}		
FK Grupo/Frisokar	http://www.fkgrupo.com	http://www.linkedin.com/company/fkgrupo	{'number': '+55 14 4240-9000', 'source': 'Scraped', 'sanitized_number': '+551442409000'}	+55 14 4240-9000	Portuguese, Spanish
Tip Top Brasil	http://www.tiptop.com.br	http://www.linkedin.com/company/tiptopbr	{}		
AQUAMAR	http://www.eaquamar.com.br	http://www.linkedin.com/company/grupo-aquamar	{}		Portuguese
Caemmun Movelaria I Grupo Munhoz Caetano	http://www.caemmun.com.br	http://www.linkedin.com/company/caemmun	{}		
Shoebiz Oficial	http://www.shoebiz.com.br	http://www.linkedin.com/company/shoebiz-calcados	{}		
Grupo Krindges	http://www.krindges.com.br	http://www.linkedin.com/company/grupokrindges	{}		
Meu Móvel de Madeira	http://www.meumoveldemadeira.com.br	http://www.linkedin.com/company/mmm_2	{'number': '+55 47 3203-4500', 'source': 'Scraped', 'sanitized_number': '+554732034500'}	+55 47 3203-4500	Portuguese
ACIUM Brazil	http://www.acium.com.br	http://www.linkedin.com/company/aciumbrasil	{}		
Grupo Tesoura de Ouro	http://www.grupotesouradeouro.com.br	http://www.linkedin.com/company/grupo-tesoura-de-ouro	{}		
Hellen Estofados e Colchões	http://www.hellen.com.br	http://www.linkedin.com/company/hellenestofadosecolchoes	{}		Portuguese
Lojas Citycol S/A	http://www.citycol.com.br	http://www.linkedin.com/company/lojas-citycol-s-a	{}		
Branyl Indústria Têxtil		http://www.linkedin.com/company/branyl-ind%c3%bastria-textil	{'number': '+55 19 3492-8400', 'source': 'Account', 'sanitized_number': '+551934928400'}	+55 19 3492-8400	
Águia Shoes	http://www.aguiashoes.com.br	http://www.linkedin.com/company/aguia-shoes	{}		
Ophicina	http://www.ophicina.com.br	http://www.linkedin.com/company/ophicina	{}		Spanish, Portuguese
Ponto Da Moda	http://www.pontodamoda.com.br	http://www.linkedin.com/company/ponto-da-moda	{'number': '+55 82 3357-3029', 'source': 'Account', 'sanitized_number': '+558233573029'}	+55 82 3357-3029	
PCE Engenharia	http://www.pcebr.com.br	http://www.linkedin.com/company/pce-engenharia	{'number': '+55 21 3231-7450', 'source': 'Account', 'sanitized_number': '+552132317450'}	+55 21 3231-7450	English, German, Spanish, French, Italian, Japanese, Russian
C. Rolim		http://www.linkedin.com/company/c-rolim	{}		
Romance Moda	http://www.romance.com.br	http://www.linkedin.com/company/romance-moda	{'number': '+55 51 98191-8428', 'source': 'Scraped', 'sanitized_number': '+5551981918428'}	+55 51 98191-8428	
bb básico	http://www.bebebasico.com.br	http://www.linkedin.com/company/bb-basico	{'number': '+55 21 2612-2374', 'source': 'Scraped', 'sanitized_number': '+552126122374'}	+55 21 2612-2374	
Roupa em Casa	http://www.roupaemcasa.com	http://www.linkedin.com/company/roupaemcasa	{}		
Grupo Topázio | Colchões	Estofados e Móveis	http://www.grupotopazio.com.br	http://www.linkedin.com/company/grupotop%c3%a1zio	{}	
CLUBE MELISSA PAULISTA		http://www.linkedin.com/company/clube-melissa-paulista	{}		
outros	http://www.elkispaisagismo.com.br	http://www.linkedin.com/company/ivi-lima-ghidoni-do-prado	{}		Portuguese
Engenheiro Civil	http://www.engenheirocivillondrina.com.br	http://www.linkedin.com/company/engenheiro-civil	{}		
C&A Brasil	http://www.cea.com.br	http://www.linkedin.com/company/c&a_brasil	{}		Portuguese
Dafiti	http://www.dafitigroup.com	http://www.linkedin.com/company/dafiti	{}		Portuguese
Iguatemi S.A.	http://www.vemseriguatemi.com.br	http://www.linkedin.com/company/iguatemisa	{}		Portuguese
Grupo SOMA	http://www.somagrupo.com.br	http://www.linkedin.com/company/grupo-soma	{'number': '+55 21 2503-6850', 'source': 'Owler', 'sanitized_number': '+552125036850'}	+55 21 2503-6850	
Privalia	http://www.privalia.com	http://www.linkedin.com/company/privalia	{'number': '+55 34 93553-1805', 'source': 'Owler', 'sanitized_number': '+5534935531805'}	+55 34 93553-1805	Spanish, Italian
Case&Stock	http://www.tokstok.com.br	http://www.linkedin.com/company/tok&stok	{'number': '+55 11 4280-9144', 'source': 'Scraped', 'sanitized_number': '+551142809144'}	+55 11 4280-9144	
Chilli Beans	http://www.chillibeans.com.br	http://www.linkedin.com/company/chilli-beans	{}		Portuguese
Grupo HOPE	http://www.grupohope.com.br	http://www.linkedin.com/company/grupohope	{}		Portuguese
VESTE S/A	http://www.veste.com	http://www.linkedin.com/company/veste-sa	{}		
Shoulder	http://www.shoulder.com.br	http://www.linkedin.com/company/shoulder	{'number': '+55 11 3366-0040', 'source': 'Account', 'sanitized_number': '+551133660040'}	+55 11 3366-0040	Portuguese
Grupo Malwee	http://www.grupomalwee.com.br	http://www.linkedin.com/company/grupomalwee	{}		Portuguese
Restoque S/A	http://www.restoque.com.br	http://www.linkedin.com/company/restoque-sa	{}		
Lojas Torra	http://www.lojastorra.com.br	http://www.linkedin.com/company/lojastorra	{}		
Caedu	http://www.caedu.com.br	http://www.linkedin.com/company/caedu	{}		
FARM Rio	http://www.farmrio.com	http://www.linkedin.com/company/farm-rio	{}		Portuguese
Athié Wohnrath	http://www.athiewohnrath.com.br	http://www.linkedin.com/company/athiewohnrath	{}		
Mills	http://www.mills.com.br	http://www.linkedin.com/company/millsoficial	{'number': '+55 800 705 1000', 'source': 'Owler', 'sanitized_number': '+558007051000'}	+55 800 705 1000	Portuguese
Armac	http://www.armac.com.br	http://www.linkedin.com/company/armac-locacao	{}		Portuguese
Inbrands	http://www.inbrands.com.br	http://www.linkedin.com/company/inbrands	{}		Portuguese
Aramis	http://www.aramis.com.br	http://www.linkedin.com/company/aramis	{'number': '+55 11 3611-5141', 'source': 'Account', 'sanitized_number': '+551136115141'}	+55 11 3611-5141	Portuguese, English
Constance Calçados	http://www.constance.com.br	http://www.linkedin.com/company/constance-cal%c3%a7ados	{'number': '+55 61 3242-1464', 'source': 'Account', 'sanitized_number': '+556132421464'}	+55 61 3242-1464	Portuguese
Osklen	http://www.osklen.com.br	http://www.linkedin.com/company/osklen	{}		English
Morena Rosa Group	http://www.grupomorenarosa.com.br	http://www.linkedin.com/company/grupo-morena-rosa	{'number': '+55 44 3351-5000', 'source': 'Account', 'sanitized_number': '+554433515000'}	+55 44 3351-5000	Portuguese
Lunelli	http://www.lunelli.com.br	http://www.linkedin.com/company/lunelli	{'number': '+55 47 3373-7000', 'source': 'Scraped', 'sanitized_number': '+554733737000'}	+55 47 3373-7000	Portuguese, English, Portuguese, Spanish, English, Portuguese, Spanish, English, Portuguese, Spanish
AMC Textil Ltda	http://www.amctextil.com.br	http://www.linkedin.com/company/grupoamc	{}		Spanish
Santa Lolla	http://www.totvs.app	http://www.linkedin.com/company/santa-lolla	{'number': '+55 95 3623-2165', 'source': 'Account', 'sanitized_number': '+559536232165'}	+55 95 3623-2165	Portuguese
Studio Z	http://www.stz.com.br	http://www.linkedin.com/company/studio-z-calcados	{'number': '+55 800 648 0151', 'source': 'Scraped', 'sanitized_number': '+558006480151'}	+55 800 648 0151	
Novo Mundo Móveis e Utilidades	http://www.novomundo.com.br	http://www.linkedin.com/company/novo-mundo-sa	{}		Portuguese
Zinzane	http://www.zinzane.com.br	http://www.linkedin.com/company/zinzane	{}		
LIVE!	http://www.liveoficial.com.br	http://www.linkedin.com/company/liveoficial	{'number': '+55 47 2106-7460', 'source': 'Account', 'sanitized_number': '+554721067460'}	+55 47 2106-7460	Portuguese
TNG Comércio de Roupas Ltda.	http://www.tngvirtual.com.br	http://www.linkedin.com/company/tng-com-rcio-de-roupas-ltda-	{}		Portuguese
ANIMALE	http://www.animale.com.br	http://www.linkedin.com/company/animale	{}		
Lojas Leader	http://www.leader.com.br	http://www.linkedin.com/company/lo-jas-le-a-der	{}		
Cozinhas Itatiaia	http://www.minhaitatiaia.com.br	http://www.linkedin.com/company/cozinhas-itatiaia	{}		English, Portuguese, Spanish
Polo Wear	http://www.polowear.com.br	http://www.linkedin.com/company/polo-wear	{}		Portuguese
Paquetá The Shoe Company	http://www.paquetatheshoecompany.com.br	http://www.linkedin.com/company/paqueta-the-shoe-company	{}		English, Portuguese, Spanish
Todeschini S.A.	http://www.todeschini.com.br	http://www.linkedin.com/company/todeschini	{'number': '(809) 532-3738', 'source': 'Scraped', 'sanitized_number': '+18095323738'}	(809) 532-3738	English, Portuguese, Spanish
Avenue	http://www.avenida.com.br	http://www.linkedin.com/company/lojas-avenida	{}		Portuguese, Portuguese
Lojas Besni	http://www.besni.com.br	http://www.linkedin.com/company/lojas-belian-moda	{}		Portuguese
DeMillus Indústria e Comércio S.A.	http://www.demillus.com.br	http://www.linkedin.com/company/demillus	{}		Portuguese
Bracol	http://www.bracolonline.com.br	http://www.linkedin.com/company/bracolpro	{'number': '+55 14 3533-2200', 'source': 'Account', 'sanitized_number': '+551435332200'}	+55 14 3533-2200	
Zanotti Elásticos	http://www.zanotti.com.br	http://www.linkedin.com/company/zanottielasticos	{'number': '+55 47 3372-5000', 'source': 'Account', 'sanitized_number': '+554733725000'}	+55 47 3372-5000	Spanish
Florense	http://www.florense.com	http://www.linkedin.com/company/florense	{'number': '+55 54 3292-7300', 'source': 'Scraped', 'sanitized_number': '+555432927300'}	+55 54 3292-7300	English, Spanish, Portuguese
Lider	http://www.lider.design	http://www.linkedin.com/company/liderdesign	{'number': '+55 37 3244-0300', 'source': 'Scraped', 'sanitized_number': '+553732440300'}	+55 37 3244-0300	
TACO - Roupas	Moda / Varejo	http://www.taco.com.br	http://www.linkedin.com/company/tacomoda	{}	
MOB	http://www.mobonline.com.br	http://www.linkedin.com/company/mob	{}		
Lojas Pompéia	http://www.lojaspompeia.com	http://www.linkedin.com/company/lojaspompeia	{}		Portuguese
Damyller	http://www.damyller.com.br	http://www.linkedin.com/company/damyller	{}		Portuguese
Lojas Nalin	http://www.lojasnalin.com.br	http://www.linkedin.com/company/lojasnalin	{}		
Fibraplac Painéis de Madeira S.A.	http://www.fibraplac.com.br	http://www.linkedin.com/company/fibraplac-chapas-de-mdf-ltda	{'number': '+55 800 70 9633', 'source': 'Scraped', 'sanitized_number': '+55800709633'}	+55 800 70 9633	Portuguese
Humanitarian	http://www.humanitarian.com.br	http://www.linkedin.com/company/humanitarian-calcados	{}		Portuguese
Grupo Bigfer	http://www.grupobigfer.com.br	http://www.linkedin.com/company/grupo-bigfer---filial-farroupilha-rs	{}		Portuguese
Duloren Indústria e Comércio S.A.	http://www.duloren.com.br	http://www.linkedin.com/company/duloren	{}		Portuguese
Rede de Óticas Mercadão dos Óculos	http://www.mercadaodosoculos.com.br	http://www.linkedin.com/company/rede-de-%c3%b3ticas-mercad%c3%a3o-dos-%c3%b3culos	{'number': '+55 17 3202-9100', 'source': 'Scraped', 'sanitized_number': '+551732029100'}	+55 17 3202-9100	
Democrata Calçados e Artef. de Couro LTDA	http://www.democrata.com.br	http://www.linkedin.com/company/democratacalcados	{}		Portuguese
Nação Pampili	http://www.pampili.com.br	http://www.linkedin.com/company/pampili	{}		Portuguese
CALÇADOS ITAPUÃ	http://www.itapua.com.br	http://www.linkedin.com/company/lojasitapua	{}		Portuguese
Passarela Calçados	http://www.passarela.com.br	http://www.linkedin.com/company/passarela-com	{}		Portuguese
Gazin Colchões	http://www.colchoesgazin.com.br	http://www.linkedin.com/company/gazin-colches	{}		
Armazém Paraíba	http://www.armazemparaiba.com.br	http://www.linkedin.com/company/armazemparaiba	{}		
Corretor de imóveis	http://www.olx.com.br	http://www.linkedin.com/company/corretor-de-im-veis	{}		
Oficina	http://www.oficinareserva.com	http://www.linkedin.com/company/useoficina	{'number': '+55 21 2474-1562', 'source': 'Account', 'sanitized_number': '+552124741562'}	+55 21 2474-1562	English
Lojão do Brás	http://www.lojaodobras.com.br	http://www.linkedin.com/company/loj%c3%a3o-do-br%c3%a1s	{}		Portuguese
MOBILE		http://www.linkedin.com/company/mobile	{'number': '+55 11 2431-5511', 'source': 'Account', 'sanitized_number': '+551124315511'}	+55 11 2431-5511	
Amazonflex	http://www.amazonflexshop.com.br	http://www.linkedin.com/company/amazonflex	{'number': '+55 16 99631-0032', 'source': 'Scraped', 'sanitized_number': '+5516996310032'}	+55 16 99631-0032	
Moda	http://www.limonadapink.com.br	http://www.linkedin.com/company/limonada-pink	{'number': '+55 44 3346-9254', 'source': 'Scraped', 'sanitized_number': '+554433469254'}	+55 44 3346-9254	Portuguese
Costureira		http://www.linkedin.com/company/costureira	{}		
Hospital do Servidor Público Estadual	http://www.otorrinoiamspe.com.br	http://www.linkedin.com/company/hospital-do-servidor-p%c3%bablico-estadual	{}		
Moveis Planejados	http://www.mpmoveisplanejados.com.br	http://www.linkedin.com/company/moveis-planejados	{}		
Fundação Municipal de Saúde		http://www.linkedin.com/company/funda%c3%a7%c3%a3o-municipal-de-sa%c3%bade	{}		
BABA	http://www.sitedababa.com.br	http://www.linkedin.com/company/linkedin-da-baba	{'number': '+55 85 98177-0983', 'source': 'Account', 'sanitized_number': '+5585981770983'}	+55 85 98177-0983	
MY confecção		http://www.linkedin.com/company/my-confec%c3%a7%c3%a3o	{}		
Armarinho	http://www.armarinhobrecho.com.br	http://www.linkedin.com/company/armarinho-brecho	{}		
